timestamp,dry_run_only,embb_action,urllc_action,mmtc_action,active_actions,applied,enforcement_mode,reason_summary,telemetry_file
2026-04-07T05:48:57.328Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:49:07.332Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:49:17.336Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:49:27.341Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:49:37.345Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:49:47.349Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:49:57.353Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:50:07.358Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:50:17.362Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
2026-04-07T05:50:22.367Z,False,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,MAINTAIN_CURRENT_POLICY,,False,active,URLLC: URLLC telemetry is within SLA. | eMBB: No active eMBB traffic was observed in the latest telemetry window. | mMTC: No active mMTC traffic was observed in the latest telemetry window.,/home/ak/Desktop/openairinterfacE5G_J/ci-scripts/yaml_files/5g_rfsimulator/logs/telemetry/closed_loop_telemetry_20260406_234706.jsonl
